version: 66.12
revision: DORADO
glider: 654
mission: 10
selftest: 82
start: 3 26 126 3 6 3
columns: rec,elaps_tms,depth,heading,pitch,roll,AD_pitch,AD_roll,AD_vbd,GC_phase,
data:
0 12117 0 621 -34 52 802 3097 600 6
1 4621 0 -1 0 -1 0 0 0 0
1 4604 -1 1 -1 2 0 0 0 0
1 4622 19 -2 1 -1 0 0 0 0
1 4000 -20 0 0 -2 0 0 0 0
1 3380 2 2 -1 3 0 0 0 0
1 3998 0 0 -1 -3 0 0 0 0
1 4001 -1 0 2 2 0 0 0 0
1 3998 31 0 0 0 0 0 0 0
1 4001 -32 -1 0 1 0 0 0 0
1 4621 0 -1 0 -1 0 0 0 0
1 3418 1 2 -2 0 0 0 0 0
1 4618 0 1 0 0 0 0 0 0
1 4617 6 -2 2 0 0 0 0 0
1 4000 -6 0 0 1 0 0 0 0
