version: 67.01
glider: 261
mission: 1
selftest: 3
start: 7 17 126 14 14 14
columns: rec,elaps_tms,depth,heading,pitch,roll,GC_state,mag.x,mag.y,mag.z,
data:
0 5803 1 2062 4 221 0 255 1697 1124
1 8326 -1 51 1 -3 0 22 15 -3
1 4066 -1 75 1 2 0 27 30 -14
1 4000 2 19 -1 2 0 8 14 1
1 4000 -1 45 1 0 0 21 10 -10
1 3243 0 -14 -2 0 1 -3 -5 2
1 4068 0 23 -2 -1 0 9 9 -10
1 4000 0 8 -1 4 0 15 -1 3
1 3998 0 27 9 -4 0 -11 5 -13
1 4001 0 -16 -4 5 0 -2 6 1
1 4692 0 71 1 3 -1 41 12 1
1 3998 0 62 2 -8 0 19 4 -13
1 4001 0 -31 -2 5 0 -9 2 2
1 4000 0 36 0 2 0 22 0 -3
1 3999 0 24 -3 -2 0 12 9 -7
