version: 67.01
glider: 263
mission: 7
selftest: 15
start: 6 2 126 15 31 37
columns: rec,elaps_tms,depth,heading,pitch,roll,GC_state,mag.x,mag.y,mag.z,
data:
0 6851 3 3346 -9 24 0 110 1864 1163
1 4108 3 1 0 -1 0 6 -4 -6
1 4034 0 10 0 -2 0 2 -22 6
1 3812 0 3 -1 4 0 -10 3 0
1 4046 0 -16 1 -2 0 -2 18 -12
1 2592 -3 2 -1 4 1 -1 8 2
1 3997 3 17 1 -1 0 6 -28 -1
1 4002 0 -2 0 -2 0 7 2 4
1 3999 0 11 0 1 0 13 -10 -1
1 4000 -3 -20 1 -1 0 -21 23 -5
1 5504 0 -6 -3 0 -1 -8 0 -4
1 4112 3 20 2 1 0 28 -15 2
1 3792 0 4 1 0 0 7 -3 4
1 4003 0 7 0 2 0 -7 -6 -7
1 4047 0 -34 1 -4 0 -44 25 -2
