%first_bin_depth: 7.50
%bin_width: 5.00
%container: SG256
%comment: sc0081b
%columns: temperature salinity 
0.645000 24.969999 
0.650000 24.959999 
0.625000 24.959999 
0.655000 24.965000 
0.780000 25.570000 
-0.405000 27.090000 
-0.205000 27.330000 
-0.395000 27.535000 
-0.295000 27.850000 
-0.415000 28.570000 
-0.115000 29.360001 
0.185000 30.090000 
0.370000 30.575001 
0.455000 30.885000 
0.305000 31.080000 
0.170000 31.260000 
0.100000 31.440001 
-0.115000 31.580000 
-0.285000 31.690001 
-0.465000 31.790001 
-0.580000 31.865000 
-0.645000 31.924999 
-0.805000 32.000000 
-0.910000 32.075001 
-1.000000 32.145000 
-1.090000 32.215000 
-1.145000 32.270000 
-1.190000 32.320000 
-1.235000 32.369999 
-1.260000 32.415001 
-1.285000 32.459999 
-1.295000 32.505001 
-1.305000 32.544998 
-1.325000 32.595001 
-1.360000 32.645000 
-1.380000 32.685001 
-1.370000 32.720001 
-1.385000 32.755001 
-1.395000 32.810001 
-1.415000 32.855000 
-1.445000 32.900002 
-1.455000 32.955002 
-1.455000 33.000000 
-1.445000 33.044998 
-1.425000 33.105000 
-1.405000 33.174999 
-1.385000 33.235001 
-1.365000 33.310001 
-1.320000 33.384998 
-1.265000 33.474998 
-1.185000 33.590000 
-1.095000 33.720001 
-0.980000 33.860001 
-0.910000 33.939999 
-0.805000 34.040001 
-0.720000 34.119999 
-0.625000 34.200001 
-0.555000 34.259998 
-0.500000 34.299999 
-0.425000 34.355000 
-0.335000 34.404999 
-0.295000 34.424999 
-0.250000 34.459999 
-0.175000 34.494999 
-0.115000 34.535000 
-0.050000 34.560001 
0.020000 34.584999 
0.070000 34.605000 
0.130000 34.625000 
0.195000 34.645000 
0.230000 34.660000 
0.295000 34.680000 
0.350000 34.700001 
0.380000 34.709999 
0.410000 34.720001 
0.450000 34.735001 
0.485000 34.744999 
0.510000 34.755001 
0.540000 34.759998 
0.565000 34.770000 
0.590000 34.775002 
0.615000 34.779999 
0.645000 34.790001 
0.665000 34.799999 
0.680000 34.805000 
0.690000 34.810001 
0.705000 34.814999 
0.720000 34.814999 
0.725000 34.820000 
0.735000 34.820000 
0.740000 34.825001 
0.750000 34.830002 
0.765000 34.830002 
0.775000 34.834999 
0.775000 34.834999 
0.775000 34.834999 
0.785000 34.840000 
0.785000 34.845001 
0.790000 34.845001 
0.795000 34.845001 
0.795000 34.845001 
0.790000 34.845001 
0.790000 34.849998 
-4.000000 0.000000 
0.790000 34.849998 
0.790000 34.849998 
0.790000 34.855000 
-4.000000 0.000000 
0.785000 34.855000 
0.785000 34.860001 
-4.000000 0.000000 
0.780000 34.860001 
0.770000 34.865002 
-4.000000 0.000000 
0.765000 34.865002 
0.750000 34.865002 
-4.000000 0.000000 
0.740000 34.865002 
0.735000 34.869999 
0.725000 34.869999 
-4.000000 0.000000 
0.715000 34.869999 
0.700000 34.869999 
0.685000 34.869999 
-4.000000 0.000000 
0.680000 34.869999 
0.665000 34.869999 
0.655000 34.869999 
0.645000 34.869999 
-4.000000 0.000000 
0.635000 34.869999 
0.630000 34.869999 
0.615000 34.875000 
-4.000000 0.000000 
0.595000 34.869999 
0.580000 34.875000 
-4.000000 0.000000 
0.570000 34.875000 
-4.000000 0.000000 
0.555000 34.875000 
0.555000 34.875000 
-4.000000 0.000000 
0.530000 34.875000 
0.515000 34.875000 
-4.000000 0.000000 
0.505000 34.875000 
0.505000 34.880001 
0.485000 34.880001 
-4.000000 0.000000 
0.475000 34.875000 
0.470000 34.880001 
0.455000 34.880001 
-4.000000 0.000000 
0.440000 34.875000 
0.425000 34.880001 
0.420000 34.880001 
-4.000000 0.000000 
0.415000 34.880001 
0.400000 34.880001 
-4.000000 0.000000 
0.385000 34.880001 
0.380000 34.880001 
0.360000 34.880001 
-4.000000 0.000000 
0.345000 34.880001 
0.345000 34.884998 
-4.000000 0.000000 
0.330000 34.884998 
-4.000000 0.000000 
0.310000 34.880001 
0.305000 34.884998 
-4.000000 0.000000 
0.300000 34.884998 
-4.000000 0.000000 
0.275000 34.880001 
0.260000 34.880001 
0.255000 34.884998 
-4.000000 0.000000 
0.245000 34.884998 
0.230000 34.884998 
-4.000000 0.000000 
0.215000 34.880001 
0.215000 34.884998 
0.205000 34.884998 
-4.000000 0.000000 
0.190000 34.884998 
0.180000 34.884998 
-4.000000 0.000000 
0.175000 34.884998 
0.165000 34.884998 
0.155000 34.884998 
-4.000000 0.000000 
0.150000 34.884998 
0.140000 34.884998 
-4.000000 0.000000 
0.130000 34.884998 
0.125000 34.884998 
0.115000 34.889999 
0.115000 34.884998 
0.110000 34.884998 
