% instrument: tridente tridentebb700bb470chla470
% columns: elapsed_t(1,0) bb700(100000,0) bb470(100000,0) chla470(1000,0) 
% container: sc0002a
% comment: SG272
% start: 2 3 126 19 35 58 305
8602 30 55 894 
1577 -4 1 178 
5002 1 -3 -240 
5002 -1 5 75 
4998 3 -2 -18 
5002 -4 -1 -77 
4998 0 -2 107 
5001 3 8 19 
4999 1 -5 251 
5001 -3 0 -289 
5000 1 -1 66 
5000 1 -1 -100 
5000 -1 0 4 
5000 0 -2 104 
5000 5 2 82 
5000 -5 14 -94 
5000 -2 -10 44 
5000 1 -2 5 
5001 4 2 111 
5000 -3 -1 -79 
4999 2 8 152 
4997 0 -7 -85 
5004 -2 -2 310 
4996 -1 -2 -267 
5002 -1 0 0 
5002 2 2 259 
5000 1 -1 -67 
5000 1 4 543 
4999 3 -1 -443 
5001 -4 -2 -202 
4998 3 5 106 
5002 -3 -4 28 
4999 -2 -1 -156 
5000 5 -2 331 
5000 -5 0 -399 
5000 0 1 315 
5000 -1 0 -268 
5001 2 -2 355 
5000 -1 2 -583 
4999 -1 -1 318 
5001 -1 -4 -103 
4999 0 0 -340 
5000 7 1 200 
5001 -5 1 -215 
5000 -3 2 47 
5000 1 0 -16 
4999 0 0 168 
5000 1 -2 -213 
5000 4 2 -171 
5000 -2 1 51 
5000 1 0 46 
5001 -2 -1 -64 
5000 6 8 376 
5000 -7 -8 -445 
5000 1 -2 32 
4999 0 2 -117 
5001 0 2 -164 
5000 -2 -5 -11 
4999 2 6 -119 
5000 0 3 -32 
4999 1 -7 -1 
5002 5 -2 -21 
4999 -11 4 12 
5000 0 -3 2 
4999 1 -2 -14 
5002 5 11 -5 
4999 -6 -12 -17 
5001 0 3 15 
4999 0 41 -3 
5000 2 -46 94 
4999 5 10 -90 
5001 -4 -6 -28 
5001 3 13 -4 
5000 11 -6 -31 
5000 -9 0 34 
4999 1 8 34 
5001 1 -4 -87 
4997 2 7 2 
5003 1 3 -9 
4999 3 6 -11 
5002 1 -3 9 
4995 9 28 -10 
5004 -2 -22 13 
4997 0 5 -39 
5004 6 5 37 
4996 20 -3 -5 
5004 -21 3 -5 
5000 2 8 10 
4999 1 5 -5 
4999 3 -4 -23 
5002 0 -2 34 
4999 0 5 -50 
4999 -1 0 22 
5000 5 -1 26 
5000 1 0 -30 
5000 -3 5 -9 
5000 2 -4 -2 
5000 -2 8 7 
5000 1 -9 -10 
5002 -4 -6 -4 
4999 2 5 0 
4999 4 6 -10 
5000 -1 -4 19 
4998 -5 -5 -4 
5003 2 2 15 
5000 8 2 -17 
5000 -11 -3 179 
5000 1 0 -181 
4999 -2 13 7 
5002 5 -18 3 
4999 8 6 -15 
% stop: 2 3 126 19 45 15.897
% samples: 111
% ontime: 15171
