version: 67.01
glider: 283
mission: 1
selftest: 6
start: 5 12 126 18 9 48
columns: rec,elaps_tms,depth,heading,pitch,roll,GC_state,mag.x,mag.y,mag.z,
data:
0 7240 0 822 -608 -38 0 1413 475 6
1 10426 0 9 0 -1 0 -19 11 5
1 4275 0 -10 0 -1 0 16 1 -5
1 4275 0 12 0 1 0 -11 -5 7
1 4274 0 -31 -1 0 0 -4 -2 -37
1 3586 0 30 0 -2 1 1 -13 28
1 4000 -1 -7 1 1 0 6 12 1
1 4005 1 -11 0 3 0 -1 4 -9
1 3986 0 5 -1 -2 0 14 -16 5
1 4004 -1 3 1 -2 0 -25 20 -4
1 4692 1 1 0 -1 -1 10 -21 -1
1 5406 0 -13 0 3 0 6 13 -6
1 4265 0 14 -1 -2 0 2 -14 9
1 4254 0 3 0 1 0 -12 12 3
1 4261 0 -3 2 0 0 5 -19 -5
