% instrument: optode codaTODO
% columns: elapsed_t(1,0) temp(10000,0) doxy21(10000,0) doxy22(10000,0) doxy24(10000,0) opt05(10000,0) 
% container: sc0002b
% comment: SG272
% start: 2 3 126 19 45 24 418
5003 141 2679 1245 3276 -144 
4997 240 299 576 242 -92 
5003 -247 487 -304 747 66 
4997 509 -4921 -797 -6443 5 
5003 134 -4997 -1555 -6331 134 
4997 49 3574 1393 4448 -145 
5004 2 -2758 -997 -3454 98 
4999 51 -4738 -1624 -5959 154 
4997 23 6127 2271 7658 -229 
5002 -102 -177 -262 -166 41 
4998 -23 -2019 -777 -2514 81 
5004 -122 -12774 -4877 -15928 503 
4996 183 2533 1274 3071 -154 
5003 115 522 410 591 -57 
4997 3 -639 -226 -801 22 
5004 25 -14206 -5116 -17800 508 
4996 4 4886 1784 6115 -180 
5004 8 -10906 -3948 -13659 395 
4996 -8 3344 1200 4192 -119 
5004 3 6279 2288 7859 -230 
4996 -4 -9779 -3561 -12241 358 
5002 9 -10247 -3707 -12835 373 
4998 0 -10851 -3945 -13584 400 
5003 -5 25374 9214 31770 -931 
