% instrument: tridente tridentebb700bb470chla470
% columns: elapsed_t(1,0) bb700(100000,0) bb470(100000,0) chla470(1000,0) 
% container: sc0002b
% comment: SG272
% start: 2 3 126 19 45 24 418
8602 62 98 68 
1577 0 24 -44 
5000 5 -19 19 
5005 -9 -6 -13 
4999 4 5 16 
4998 -4 0 0 
5001 -2 4 -11 
5000 6 3 21 
5002 -7 -11 -6 
4999 2 1 -4 
4999 1 6 14 
4999 -1 2 -19 
5002 3 -4 -6 
4999 -4 0 7 
5000 6 1 -5 
5000 9 -2 6 
5000 3 7 -9 
5001 -19 -8 8 
5000 10 1 -4 
4999 -3 5 -7 
5001 -3 -3 4 
5000 1 0 9 
5000 -3 -5 -9 
4999 15 1 14 
5001 -11 2 -7 
4996 -3 5 -19 
5003 -1 -4 35 
4998 0 -8 -22 
5004 0 3 -7 
4995 0 6 15 
5004 5 7 -21 
4997 -7 -12 24 
5003 6 -2 -7 
4997 7 -2 5 
5004 -13 3 12 
4996 -2 0 1 
5003 -2 -6 -1 
4997 2 4 -10 
5004 -2 -11 4 
4996 -6 -3 20 
5004 -2 -3 -6 
4996 -5 -5 7 
5003 2 1 -3 
4997 -3 5 -5 
5003 -1 -11 31 
4996 -3 22 7 
5004 3 -16 -5 
4997 -1 -8 0 
5004 0 6 -9 
4996 -3 -10 4 
5002 2 5 -23 
4998 -6 -9 23 
5002 24 0 20 
4997 -8 0 30 
5004 -18 8 -10 
4996 1 -9 -24 
5003 8 0 19 
4997 -10 -3 -7 
5003 -1 7 25 
4997 8 -4 -14 
5003 -10 -4 13 
4997 0 -1 46 
5004 3 4 -43 
4996 -2 -3 29 
5003 1 -4 -24 
4997 -2 0 0 
5003 2 -1 2 
4997 -4 1 25 
5003 2 16 -22 
4997 -1 -18 11 
5004 0 2 8 
4996 21 -1 4 
5003 -20 7 14 
4997 -2 -4 -20 
5004 -1 -4 61 
4996 0 -1 -53 
5002 1 -2 17 
4998 -2 1 -3 
5003 3 0 42 
4997 -4 2 -2 
5004 3 -1 -16 
4996 0 1 16 
5004 0 7 -1 
4996 2 -6 36 
5004 1 2 -29 
4996 1 0 29 
5003 -1 0 3 
4998 -2 23 30 
5003 0 -15 23 
4996 7 -8 -25 
5003 -7 0 13 
4997 1 -2 24 
5003 0 -2 82 
4997 3 10 -42 
5004 0 -4 26 
4996 3 9 -48 
5003 -5 -8 93 
4997 0 1 116 
5004 1 -3 1 
4996 0 2 23 
5004 1 -2 61 
4996 0 4 -58 
5004 3 -2 74 
4996 0 -2 -33 
5003 -5 -1 1123 
4997 2 3 -1139 
5004 0 -3 130 
4996 -2 2 -104 
5003 0 -1 531 
4997 2 -1 -459 
5004 8 0 -23 
5000 -10 0 102 
4996 0 1 28 
5004 1 -2 -104 
4996 2 -2 83 
5003 3 10 -30 
4997 -5 -7 270 
5004 -1 1 -285 
4996 1 0 75 
5004 0 1 153 
4996 -1 -3 -122 
5004 -1 5 -4 
4996 1 -5 -19 
5004 1 4 184 
4996 -1 -4 154 
5002 4 1 -288 
4998 7 -1 -16 
5004 -11 -1 -32 
4996 -1 1 228 
5004 26 1 -51 
4996 -27 -2 -97 
5003 1 0 -121 
4997 1 -1 762 
5003 -1 3 -492 
4997 1 2 -44 
5003 1 0 79 
4997 4 -2 69 
5003 -5 -2 44 
4997 3 -2 -222 
5003 -5 3 430 
4997 2 1 -350 
5003 2 1 347 
4997 9 2 111 
5003 -8 8 -288 
4997 1 -9 154 
5003 3 3 82 
4997 -3 -2 -37 
5003 0 -1 -48 
4997 1 3 -168 
5003 6 -3 -12 
4997 -8 3 -21 
5004 3 -4 -36 
4999 -2 2 155 
4997 3 0 -51 
5003 -2 3 77 
4997 -3 -1 -117 
5004 9 20 43 
4996 -8 -20 -85 
5003 2 -3 172 
4997 -2 4 -378 
5004 0 -2 58 
4997 0 1 -151 
5003 -1 -3 -24 
4996 1 1 132 
5004 0 -2 -186 
4996 1 1 -27 
5003 1 3 74 
4997 -1 -2 -73 
5003 0 -1 142 
4997 -2 5 -149 
